productId,productName,country,countryCode,officialPrice,officialCurrency,taxRate,taxIncluded,vatRefundEligible,refundPercentage,amazonKeyword
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",United States,US,,USD,0.0825,false,false,0,"MacBook Pro 14" M4 16GB 512GB"
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",United Kingdom,GB,,GBP,0.2,true,true,20,"MacBook Pro 14" M4 16GB 512GB"
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",Thailand,TH,,THB,0.07,true,true,7,"MacBook Pro 14" M4 16GB 512GB"
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",Hong Kong,HK,,HKD,0,false,false,0,"MacBook Pro 14" M4 16GB 512GB"
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",Japan,JP,,JPY,0.1,true,true,10,"MacBook Pro 14" M4 16GB 512GB"
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",Malaysia,MY,,MYR,0.1,false,false,0,"MacBook Pro 14" M4 16GB 512GB"
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",Canada,CA,,CAD,0.13,false,false,0,"MacBook Pro 14" M4 16GB 512GB"
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",Singapore,SG,,SGD,0.09,true,true,9,"MacBook Pro 14" M4 16GB 512GB"
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",Vietnam,VN,,VND,0.1,true,false,0,"MacBook Pro 14" M4 16GB 512GB"
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",Taiwan,TW,,TWD,0.05,true,false,0,"MacBook Pro 14" M4 16GB 512GB"
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",United Arab Emirates,AE,,AED,0.05,true,true,5,"MacBook Pro 14" M4 16GB 512GB"
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",Australia,AU,,AUD,0.1,true,true,10,"MacBook Pro 14" M4 16GB 512GB"
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",New Zealand,NZ,,NZD,0.15,true,false,0,"MacBook Pro 14" M4 16GB 512GB"
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",South Korea,KR,,KRW,0.1,true,true,10,"MacBook Pro 14" M4 16GB 512GB"
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",China,CN,,CNY,0.13,true,true,13,"MacBook Pro 14" M4 16GB 512GB"
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",Philippines,PH,,PHP,0.12,true,false,0,"MacBook Pro 14" M4 16GB 512GB"
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",Mexico,MX,,MXN,0.16,true,false,0,"MacBook Pro 14" M4 16GB 512GB"
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",India,IN,,INR,0.18,true,false,0,"MacBook Pro 14" M4 16GB 512GB"
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",Poland,PL,,PLN,0.23,true,true,23,"MacBook Pro 14" M4 16GB 512GB"
