productId,productName,country,countryCode,officialPrice,officialCurrency,taxRate,taxIncluded,vatRefundEligible,refundPercentage,amazonKeyword
mbp14-m4-16-512,"MacBook Pro 14" M4 16GB 512GB",United States,US,,USD,0.0825,false,false,0,"MacBook Pro 14" M4 16GB 512GB"
mbp14-m4-16-1tb,"MacBook Pro 14" M4 16GB 1TB",United States,US,,USD,0.0825,false,false,0,"MacBook Pro 14" M4 16GB 1TB"
mbp14-m4pro-20-512,"MacBook Pro 14" M4 Pro 20GB 512GB",United States,US,,USD,0.0825,false,false,0,"MacBook Pro 14" M4 Pro 20GB 512GB"
mbp14-m4pro-24-512,"MacBook Pro 14" M4 Pro 24GB 512GB",United States,US,,USD,0.0825,false,false,0,"MacBook Pro 14" M4 Pro 24GB 512GB"
mbp14-m4pro-24-1tb,"MacBook Pro 14" M4 Pro 24GB 1TB",United States,US,,USD,0.0825,false,false,0,"MacBook Pro 14" M4 Pro 24GB 1TB"
mbp14-m4max-36-1tb,"MacBook Pro 14" M4 Max 36GB 1TB",United States,US,,USD,0.0825,false,false,0,"MacBook Pro 14" M4 Max 36GB 1TB"
mbp16-m4pro-24-512,"MacBook Pro 16" M4 Pro 24GB 512GB",United States,US,,USD,0.0825,false,false,0,"MacBook Pro 16" M4 Pro 24GB 512GB"
mbp16-m4pro-48-512,"MacBook Pro 16" M4 Pro 48GB 512GB",United States,US,,USD,0.0825,false,false,0,"MacBook Pro 16" M4 Pro 48GB 512GB"
mbp16-m4max-48-1tb,"MacBook Pro 16" M4 Max 48GB 1TB",United States,US,,USD,0.0825,false,false,0,"MacBook Pro 16" M4 Max 48GB 1TB"
mbp14-m3-8-512,"MacBook Pro 14" M3 8GB 512GB",United States,US,,USD,0.0825,false,false,0,"MacBook Pro 14" M3 8GB 512GB"
mbp14-m3-8-1tb,"MacBook Pro 14" M3 8GB 1TB",United States,US,,USD,0.0825,false,false,0,"MacBook Pro 14" M3 8GB 1TB"
mbp14-m3pro-18-512,"MacBook Pro 14" M3 Pro 18GB 512GB",United States,US,,USD,0.0825,false,false,0,"MacBook Pro 14" M3 Pro 18GB 512GB"
mbp14-m3pro-18-1tb,"MacBook Pro 14" M3 Pro 18GB 1TB",United States,US,,USD,0.0825,false,false,0,"MacBook Pro 14" M3 Pro 18GB 1TB"
mbp14-m3max-36-1tb,"MacBook Pro 14" M3 Max 36GB 1TB",United States,US,,USD,0.0825,false,false,0,"MacBook Pro 14" M3 Max 36GB 1TB"
